chr1	249250621	0
chr2	243199373	249250621
chr3	198022430	492449994
chr4	191154276	690472424
chr5	180915260	881626700
chr6	171115067	1062541960
chr7	159138663	1233657027
chr8	146364022	1392795690
chr9	141213431	1539159712
chr10	135534747	1680373143
chr11	135006516	1815907890
chr12	133851895	1950914406
chr13	115169878	2084766301
chr14	107349540	2199936179
chr15	102531392	2307285719
chr16	90354753	2409817111
chr17	81195210	2500171864
chr18	78077248	2581367074
chr19	59128983	2659444322
chr20	63025520	2718573305
chr21	48129895	2781598825
chr22	51304566	2829728720
chrX	155270560	2881033286
chrY	59373566	3036303846
chrM	16571	3095677412
