Clone	Target	Chromosome	Position	Bad_P	Log2Rat	RawRat	Log2StdDev	NReplic	FISH_2	FISH	WI_cR	WI_cM	WI-RH	G3	GB4	cM_MGD	CM	MARKER_NAMES	MAP_SOURCE	MAPPING_NAME	DNASOURCE_DESCRIPTION	CLONENOTES	KB_POSITION	WELL_ID	USER_CLONE_ID
GS1-232B23	HumArray1S1_A18	1	1	0	-0.104259	0.930282	0.181838	2		1 p tel								1 p tel	TELOMERE		MSD35		0	HumArray1S1_A18	GS1-232B23
RP11-82D16	HumArray1H3_V36	1	2	0	0.007389	1.005135	0.005674	3		1p36				12	14.16		0	AFM214YG7;D1S243	fishClones.txt	RP11-82D16	MSD13		1008	HumArray1H3_V36	RP11-82D16
RP11-62M23	HumArray1H3_W1	1	3	0	-0.014550	0.989966	0.011205	3		1p36				96	17.52		6.2	AFM280WE5;D1S468	fishClones.txt	RP11-62M23	MSD13		3767	HumArray1H3_W1	RP11-62M23
RP11-111O5	HumArray1H3_W36	1	4	0	-0.037270	0.974497	0.005279	3		1p36				124	21.19		12.8	AFM123XC3;D1S2893	fishClones.txt	RP11-111O5	MSD15		4738	HumArray1H3_W36	RP11-111O5
RP11-51B4	HumArray1H3_W2	1	5	0	0.043720	1.030768	0.023475	2		1p36.3				195	23.89		16.4	AFM254WB9;D1S253	stsMap.txt	AFM254WB9	MSD13		6346	HumArray1H3_W2	RP11-51B4
RP11-60J11	HumArray1H3_W3	1	6	0	-0.036908	0.974742	0.046543	2		1p36.2				290	26.29		16.9	AFMA210XG9;D1S2663	fishClones.txt	RP11-60J11	MSD13		7621	HumArray1H3_W3	RP11-60J11
RP11-813J5	HumArray1H5_M21	1	7	0	0.096777	1.069382	1000000.000000	1		1p36.2								A006Z42;p110D	INTERPOL_GB4		MSD37		10417	HumArray1H5_M21	RP11-813J5
RP11-199O1	HumArray1H3_W4	1	8	0	0.017278	1.012048	0.007850	3		1p36.3				508	45.64		22.9	AFM220YF4;D1S244	stsMap.txt	AFM220YF4	MSD13		11074	HumArray1H3_W4	RP11-199O1
RP11-188F7	HumArray1H3_W5	1	9	0	-0.058398	0.960330	0.005998	3		1p36				590	51.32		32.2	AFM217YH8;D1S434	fishClones.txt	RP11-188F7	MSD13		13178	HumArray1H3_W5	RP11-188F7
RP11-178M15	HumArray1H3_W6	1	10	0	-0.021299	0.985345	0.013282	3		1p36.2-.3				782			32.4	AFM196XB4;D1S228	fishClones.txt	RP11-178M15	MSD13		14564	HumArray1H3_W6	RP11-178M15
RP11-219F4	HumArray1H3_W7	1	11	0	-0.005092	0.996477	0.024725	3		1p36.2-.3				827	61.06		36.2	AFMA127ZC9;D1S507	fishClones.txt	RP11-219F4	MSD13		15607	HumArray1H3_W7	RP11-219F4
RP11-265F14	HumArray1H3_C1	1	12	0	-0.050099	0.965870	0.020623	3		1p36							39.9	AFM217ZC3	fishClones.txt	RP11-265F14	MSD5		16337	HumArray1H3_C1	RP11-265F14
RP11-145C4	HumArray1H3_W8	1	13	0	-0.069357	0.953063	0.012696	3		1p36							46.2	AFMA153XE9	fishClones.txt	RP11-145C4	MSD13		20645	HumArray1H3_W8	RP11-145C4
RP11-224F8	HumArray1H3_W9	1	14	0	-0.074885	0.949418	0.017385	3		1p36.1				1197	75.41		48.8	AFM343ZA9;D1S2843	fishClones.txt	RP11-224F8	MSD13		22329	HumArray1H3_W9	RP11-224F8
CTD-2128D14	HumArray1H5_F5	1	15	0	0.003134	1.002175	0.001423	3		1p35-1p36.1					74.12			M64788;RAP1GA1	stsMap.txt	RH69163	MSD31		23968	HumArray1H5_F5	CTD-2128D14
RP11-139H5	HumArray1H3_G23	1	16	0	-0.015009	0.989651	0.005826	3	6.1	1p36.1							50.9	AFM193XB12	fishClones.txt	RP11-139H5	MSD7		24564	HumArray1H3_G23	RP11-139H5
CTD-2194B23	HumArray1H5_M22	1	17	0	-0.064974	0.955963	0.024190	3	p36.1	1p36.2								D1S3214;EPHB2	stsMap.txt	RH64763	MSD37		25446	HumArray1H5_M22	CTD-2194B23
RP11-72I19	HumArray1H3_W11	1	18	0	0.028827	1.020182	0.051853	3	.1	1p35-36							54.2	AFM113XC7	fishClones.txt	RP11-72I19	MSD13		25570	HumArray1H3_W11	RP11-72I19
RP11-57F20	HumArray1H3_W10	1	19	0	-0.057898	0.960663	0.004198	2		1p36.1				1391	81.92		54.2	AFM294ZD1;D1S482	fishClones.txt	RP11-57F20	MSD13		26200	HumArray1H3_W10	RP11-57F20
RP11-4O6	HumArray1H3_W13	1	20	0	-0.075319	0.949132	0.003467	3	81.92	1p35							57.8	AFMA141ZB1	fishClones.txt	RP11-4O6	MSD13		30302	HumArray1H3_W13	RP11-4O6
RMC01P057	HumArray1S1_C9	1	21	0	-0.165832	0.891414	0.021657	3	57.8									RH83586	stsMap.txt	RH83586	MSD24		30317	HumArray1S1_C9	RMC01P057
CTD-2051J11	HumArray1H5_G26	1	22	0	-0.107238	0.928363	0.010239	3	81.92	1p35					94.47			sts-W81586;FGR	refflat.txt	FGR	MSD32		31307	HumArray1H5_G26	CTD-2051J11
RP11-285H13	HumArray1H3_W12	1	23	0	-0.033147	0.977286	0.033891	3	1	1p35					90.66		57.2	AFMB291WB5;D1S2749	fishClones.txt	RP11-285H13	MSD13		31999	HumArray1H3_W12	RP11-285H13
RP11-62B23	HumArray1H3_C2	1	24	0	-0.093964	0.936945	1000000.000000	1	p35	1p35				1645	96.43		59	AFM234TB6;D1S247	fishClones.txt	RP11-62B23	MSD5		35590	HumArray1H3_C2	RP11-62B23
RP11-104J13	HumArray1H3_W14	1	25	0	-0.120601	0.919804	0.007798	3		1p35-36					98.56		61.2	AFMA134XF9;D1S513	fishClones.txt	RP11-104J13	MSD13		36071	HumArray1H3_W14	RP11-104J13
CTD-2098K5	HumArray1H5_M23	1	26	0	-0.342463	0.788694	1000000.000000	1	61.2	1p36								SHGC-74495;LCK	stsMap.txt	RH70820	MSD37		37990	HumArray1H5_M23	CTD-2098K5
RP11-4P6	HumArray1H3_W15	1	27	0	0.000558	1.000387	0.054159	3	-36	1p34.2				1767	104		62.9	AFMA244YD5;D1S2676	fishClones.txt	RP11-4P6	MSD13		38694	HumArray1H3_W15	RP11-4P6
RP11-51A20	HumArray1H3_W17	1	28	0	-0.045451	0.968987	0.026012	2	6	1p33				1800	110.25		64	AFM311WB1;D1S2830	fishClones.txt	RP11-51A20	MSD13		39521	HumArray1H3_W17	RP11-51A20
RP11-161A11	HumArray1H3_W16	1	29	0	-0.066334	0.955062	0.003756	3	ES	1p34-35				1832	108.15		63.4	AFMA107WF9;D1S2613	fishClones.txt	RP11-161A11	MSD13		39927	HumArray1H3_W16	RP11-161A11
RP11-118E3	HumArray1H3_W18	1	30	0	-0.103644	0.930679	0.006385	3		1p33				1906			65.6	AFM205XD2;D1S2730	fishClones.txt	RP11-118E3	MSD13		40628	HumArray1H3_W18	RP11-118E3
RP11-219O7	HumArray1H3_W19	1	31	0	-0.065336	0.955723	1000000.000000	1	35	1p34.2				2029	112.62		66.1	AFMB037XF1;D1S2729	fishClones.txt	RP11-219O7	MSD13		42527	HumArray1H3_W19	RP11-219O7
RP11-207P5	HumArray1H3_W20	1	32	0	-0.045822	0.968738	0.053074	2		1p33-1p34.1				2089			66.6	AFMB013WE1;D1S2723	fishClones.txt	RP11-207P5	MSD13		42971	HumArray1H3_W20	RP11-207P5
RP11-192A12	HumArray1H5_L16	1	33	0	-0.084862	0.942875	1000000.000000	1	089	1p34							71.5	AFM214YC7	fishClones.txt	RP11-192A12	MSD3		44898	HumArray1H5_L16	RP11-192A12
RMC01P52	HumArray1S1_A1	1	34	0	-0.064907	0.956007	0.017309	3	14YC7									M19720	stsMap.txt	WI-7196	MSD24		45898	HumArray1S1_A1	RMC01P52
RP11-88O2	HumArray1H3_G24	1	35	0	0.001651	1.001145	0.016101	3	089	1p34-35							74.3	AFM154XG11	fishClones.txt	RP11-88O2	MSD7		48883	HumArray1H3_G24	RP11-88O2
RP11-253M24	HumArray1H3_C3	1	36	0	-0.021266	0.985368	0.005788	3	p34.1	1p33-34				2434			77.6	AFM248TF9;D1S451	fishClones.txt	RP11-253M24	MSD5		52776	HumArray1H3_C3	RP11-253M24
RP11-235B24	HumArray1H3_W21	1	37	0	-0.009868	0.993183	0.028424	2		1p32				2516	148.28		78.3	AFM073XE9;D1S197	stsMap.txt	AFM073XE9	MSD13		57988	HumArray1H3_W21	RP11-235B24
RP11-195G13	HumArray1H3_W22	1	38	0	-0.046889	0.968022	0.021872	2	35	1p32				2644	152.67		80.2	AFMA203YE9;D1S2661	fishClones.txt	RP11-195G13	MSD13		62706	HumArray1H3_W22	RP11-195G13
RP11-55M23	HumArray1H3_G25	1	39	0	-0.026111	0.982064	0.009686	3		1p33-34							82.6	AFMA184XE1	stsMap.txt	AFMA184XE1	MSD7		63850	HumArray1H3_G25	RP11-55M23
RP11-149K24	HumArray1H3_W23	1	40	0	-0.039492	0.972998	0.013471	2	p32	1p32.1				2755			87.7	AFMA050ZC5;D1S2867	fishClones.txt	RP11-149K24	MSD13		66394	HumArray1H3_W23	RP11-149K24
RP11-12L18	HumArray1H5_L17	1	41	0	-0.044598	0.969560	1000000.000000	1		1p31-32							88.8	AFMA183ZD9	stsMap.txt	AFMA183ZD9	MSD3		67469	HumArray1H5_L17	RP11-12L18
CTD-2001C15	HumArray1H5_G22	1	42	0	-0.044680	0.969505	0.018736	3		1q31.3					166.58			H59127;JUN	stsMap.txt	RH68524	MSD32		68255	HumArray1H5_G22	CTD-2001C15
RP11-8F24	HumArray1H3_W25	1	43	0	-0.019812	0.986361	0.002044	2	32	1p32-33				3057	169.86		92.5	AFM095WC9;D1S203	fishClones.txt	RP11-8F24	MSD13		71280	HumArray1H3_W25	RP11-8F24
RP11-110A23	HumArray1H3_G26	1	44	0	-0.085368	0.942544	0.002311	3	2-33	1p32				3062			93.8	AFM288ZG1;D1S2822	fishClones.txt	RP11-110A23	MSD7		71371	HumArray1H3_G26	RP11-110A23
RP11-69G14	HumArray1H3_C4	1	45	0	0.009174	1.006379	0.022079	3		1p31							97.4	AFM197XB6	fishClones.txt	RP11-69G14	MSD5		72356	HumArray1H3_C4	RP11-69G14
RP11-30A5	HumArray1H3_G27	1	46	0	0.012446	1.008664	0.024779	3		1p32							98.2	AFM220YC7	fishClones.txt	RP11-30A5	MSD7		73868	HumArray1H3_G27	RP11-30A5
RP11-265C4	HumArray1H3_W27	1	47	0	0.016212	1.011301	0.024715	3	062	1p32							99.4	AFMA152YG9	fishClones.txt	RP11-265C4	MSD13		74532	HumArray1H3_W27	RP11-265C4
RP11-246N19	HumArray1H3_W26	1	48	0	-0.040205	0.972517	0.008294	2	ES	1p31.2-1p31.3				3201			99.2	AFMA112ZD5;D1S2617	fishClones.txt	RP11-246N19	MSD13		74649	HumArray1H3_W26	RP11-246N19
CTD-2010C4	HumArray1H5_D24	1	49	0	0.013529	1.009422	0.036955	2		1p32.3								D1S2825;JAK1	fishClones.txt	CTD-2010C4	MSD31		75544	HumArray1H5_D24	CTD-2010C4
RP11-111N18	HumArray1H3_C5	1	50	0	0.010022	1.006971	0.054096	3		1p32							103.3	AFM161XB2	fishClones.txt	RP11-111N18	MSD5		80266	HumArray1H3_C5	RP11-111N18
